volume,packet_size,connections
0.06436814,0.13711336,0.04992048
0.09358018,0.06931484,0.028914122
0.08135738,0.11783266,0.023278872
0.14754942,0.07068133,0.027686773
0.10616257,0.0874463,0.04612878
0.12169475,0.08037093,0.018849155
0.14714578,0.07841257,0.043048505
0.14009213,0.10065116,0.013133484
0.1506128,0.068936184,0.031020964
0.13656043,0.09838285,0.031554956
0.101313815,0.1006429,0.06691156
0.107442446,0.0595766,0.036393184
0.15249874,0.062870525,0.08296818
0.12059967,0.09495897,0.020021066
0.12882261,0.08013002,0.036537856
0.1659736,0.108966656,0.04226385
0.14587249,0.09486856,0.042359438
0.14142306,0.10525135,0.036256317
0.15881978,0.056389276,0.015147671
0.16285028,0.08815129,0.024792299
0.1831621,0.06675812,0.03676077
0.12996705,0.09397019,0.027319018
0.19499733,0.074839376,0.02014257
0.16957371,0.11449489,0.039655443
0.13975723,0.050974004,0.044751808
0.12776572,0.09691111,0.02227432
0.15933514,0.08036325,0.057286803
0.18889421,0.100320816,0.026648832
0.10800222,0.0606022,0.06554459
0.12610817,0.10829674,0.011226126
0.1890002,0.06944692,0.023833161
0.17460425,0.07746153,0.066164486
0.1162575,0.045150146,0.018637354
0.13804802,0.08991861,0.046052247
0.33681884,0.15741543,0.032088835
0.2123145,0.079518996,0.16390288
0.15717745,0.101574846,0.03082493
0.32814306,0.14527139,0.124172956
0.16212258,0.124944985,0.049719002
0.09756164,0.038140245,0.03244081
0.096134946,0.04747977,0.049560107
0.10020008,0.06565183,0.024601147
0.09615718,0.07795574,0.048704654
0.27777696,0.1309789,0.080329195
0.13044974,0.09357033,0.09411675
0.10052332,0.11711318,0.03140375
0.17273915,0.05771625,0.03674678
0.23210418,0.0868455,0.11171633
0.23939906,0.09734043,0.055677492
0.1034491,0.0972047,0.021482417
0.16589366,0.068799354,0.016290253
0.11931726,0.08214427,0.06580251
0.18163678,0.059176635,0.007642344
0.97883683,0.48633853,0.75396764
0.17916718,0.12773941,0.06378155
0.09303696,0.06337566,0.059315413
0.11112056,0.07348977,0.013433151
0.14365609,0.021446496,0.060888883
0.09512593,0.043524064,0.04030711
0.27412748,0.118167184,0.052449506
0.13671845,0.07351411,0.045030702
0.17324078,0.040893868,0.017756863
0.13471425,0.11589279,0.04162747
0.18114609,0.11346932,0.067388214
0.14043005,0.11740004,0.022117294
0.14777368,0.087908044,0.061727047
0.19684425,0.11485651,0.10304333
0.11607662,0.09244574,0.07042009
0.14217378,0.06238973,0.033643477
0.14202653,0.07478815,0.03717207
0.22189985,0.20226409,0.26610643
0.126796,0.07129051,0.119681716
0.115485035,0.14186361,0.033221688
0.18143234,0.056898434,0.04813925
0.08401806,0.1257627,0.07889239
0.080537915,0.071245216,0.07900739
0.1923603,0.16663885,0.026704412
0.17553242,0.05529028,0.045094006
0.16128543,0.071949,0.033569183
0.1143678,0.14357993,0.022705317
0.1472422,0.060204975,0.036618315
0.12251705,0.067314275,0.025824655
0.5695872,0.3341228,0.3634671
0.2238466,0.058129035,0.060121264
0.33837238,0.13561642,0.15501037
0.12705795,0.08202074,0.03652566
0.24769442,0.058112644,0.025418028
0.18073206,0.106362715,0.07307585
0.1141227,0.09536662,0.030295417
0.13108589,0.06185352,0.2212174
0.1295089,0.076924026,0.01858159
0.2141455,0.12536106,0.13672327
0.1095568,0.060444184,0.040854324
0.15442003,0.07647796,0.060960043
0.12380676,0.084996745,0.039282873
0.19908813,0.078472875,0.044147342
0.20435669,0.09685352,0.039863855
0.16233645,0.059346262,0.04808627
0.13324898,0.0652707,0.06660542
0.14805911,0.11829361,0.11513202
